Name,Education Qualification,Gender,Community,Religion,Exservice-men,Disability,Sports,Annual-Percentage,Income,India,Outcome
Scholarship Scheme 1,Doctorate,Male,OBC,Sikh,No,Yes,No,61.83,Low,Yes,0
Scholarship Scheme 2,High School,Male,General,Hindu,No,No,Yes,84.55,High,Yes,0
Scholarship Scheme 3,Undergraduate,Male,OBC,Muslim,No,Yes,No,88.91,Medium,Yes,1
Scholarship Scheme 4,Doctorate,Male,OBC,Christian,Yes,Yes,No,61.93,Low,Yes,0
Scholarship Scheme 5,Doctorate,Male,ST,Christian,No,Yes,No,62.82,Medium,Yes,0
Scholarship Scheme 6,High School,All,OBC,Hindu,No,No,No,65.33,High,Yes,1
Scholarship Scheme 7,Undergraduate,Male,ST,Muslim,No,Yes,No,79.84,Low,Yes,1
Scholarship Scheme 8,Undergraduate,Male,ST,Hindu,Yes,No,Yes,58.57,Medium,Yes,1
Scholarship Scheme 9,Doctorate,All,SC,Muslim,No,No,Yes,55.2,Low,Yes,1
Scholarship Scheme 10,Postgraduate,All,SC,Hindu,No,No,No,83.88,High,Yes,0
Scholarship Scheme 11,Doctorate,All,General,Sikh,No,Yes,Yes,88.88,High,Yes,1
Scholarship Scheme 12,Doctorate,All,OBC,Hindu,Yes,No,No,75.0,High,Yes,0
Scholarship Scheme 13,Doctorate,All,General,Christian,No,Yes,No,68.16,High,Yes,1
Scholarship Scheme 14,Doctorate,All,OBC,Christian,Yes,Yes,No,71.56,Low,Yes,1
Scholarship Scheme 15,High School,Male,SC,Christian,Yes,Yes,No,69.38,Low,Yes,1
Scholarship Scheme 16,Undergraduate,Male,SC,Hindu,Yes,Yes,Yes,97.9,Medium,Yes,1
Scholarship Scheme 17,High School,Female,OBC,Christian,Yes,No,Yes,88.33,Medium,Yes,0
Scholarship Scheme 18,High School,Male,OBC,Christian,No,No,No,60.38,Low,Yes,0
Scholarship Scheme 19,High School,Male,SC,Sikh,Yes,No,Yes,69.17,Low,Yes,1
Scholarship Scheme 20,Doctorate,All,SC,Sikh,Yes,No,No,77.15,Medium,Yes,0
Scholarship Scheme 21,Postgraduate,All,General,Muslim,No,Yes,Yes,80.59,Low,Yes,0
Scholarship Scheme 22,Undergraduate,Male,SC,Muslim,Yes,Yes,No,73.36,High,Yes,1
Scholarship Scheme 23,Postgraduate,Female,OBC,Muslim,Yes,Yes,No,90.43,High,Yes,0
Scholarship Scheme 24,High School,All,General,Hindu,Yes,Yes,No,88.3,High,Yes,1
Scholarship Scheme 25,High School,Male,OBC,Muslim,Yes,No,Yes,75.21,Medium,Yes,1
Scholarship Scheme 26,Postgraduate,Male,ST,Hindu,Yes,No,Yes,92.64,Low,Yes,0
Scholarship Scheme 27,Postgraduate,Female,General,Hindu,Yes,Yes,No,87.48,Medium,Yes,0
Scholarship Scheme 28,Postgraduate,Female,OBC,Muslim,No,Yes,Yes,88.85,Medium,Yes,0
Scholarship Scheme 29,High School,All,SC,Muslim,No,Yes,Yes,97.72,Low,Yes,1
Scholarship Scheme 30,High School,Female,ST,Hindu,No,Yes,Yes,63.3,Medium,Yes,0
Scholarship Scheme 31,Undergraduate,Male,OBC,Sikh,No,No,Yes,63.36,High,Yes,0
Scholarship Scheme 32,Undergraduate,Male,General,Christian,Yes,Yes,Yes,94.36,Low,Yes,1
Scholarship Scheme 33,High School,Female,OBC,Christian,Yes,No,Yes,88.53,High,Yes,0
Scholarship Scheme 34,Postgraduate,Female,ST,Christian,Yes,No,Yes,96.23,High,Yes,0
Scholarship Scheme 35,Postgraduate,Female,General,Sikh,No,Yes,Yes,53.15,Low,Yes,1
Scholarship Scheme 36,Undergraduate,Female,ST,Hindu,No,Yes,Yes,81.33,High,Yes,1
Scholarship Scheme 37,High School,All,OBC,Muslim,Yes,No,Yes,57.22,High,Yes,0
Scholarship Scheme 38,Undergraduate,Female,SC,Hindu,Yes,No,Yes,75.14,High,Yes,0
Scholarship Scheme 39,Undergraduate,All,SC,Hindu,No,Yes,Yes,57.77,Low,Yes,0
Scholarship Scheme 40,Doctorate,Male,OBC,Muslim,No,No,Yes,56.39,Low,Yes,1
Scholarship Scheme 41,Doctorate,Female,OBC,Sikh,No,Yes,No,50.61,Low,Yes,0
Scholarship Scheme 42,Doctorate,All,OBC,Christian,No,Yes,No,81.45,Medium,Yes,1
Scholarship Scheme 43,Postgraduate,Female,General,Christian,Yes,No,Yes,67.92,High,Yes,0
Scholarship Scheme 44,High School,Male,ST,Hindu,No,No,Yes,55.25,Medium,Yes,0
Scholarship Scheme 45,High School,Male,ST,Sikh,No,Yes,Yes,66.11,Medium,Yes,0
Scholarship Scheme 46,High School,Male,ST,Christian,Yes,Yes,No,58.43,High,Yes,1
Scholarship Scheme 47,High School,Female,OBC,Sikh,Yes,No,No,96.99,Low,Yes,0
Scholarship Scheme 48,Doctorate,Female,ST,Muslim,Yes,No,Yes,65.97,Medium,Yes,0
Scholarship Scheme 49,Postgraduate,All,OBC,Hindu,No,No,Yes,66.66,Low,Yes,0
Scholarship Scheme 50,Postgraduate,Male,General,Hindu,No,No,Yes,91.91,Low,Yes,1
Scholarship Scheme 51,Doctorate,Female,SC,Sikh,No,Yes,Yes,82.32,High,Yes,0
Scholarship Scheme 52,Postgraduate,Male,OBC,Christian,No,Yes,Yes,85.44,Medium,Yes,1
Scholarship Scheme 53,Doctorate,Male,OBC,Sikh,Yes,Yes,No,81.74,Medium,Yes,0
Scholarship Scheme 54,High School,All,SC,Muslim,Yes,No,Yes,97.22,Low,Yes,1
Scholarship Scheme 55,Doctorate,All,SC,Christian,No,No,No,60.33,High,Yes,1
Scholarship Scheme 56,High School,All,General,Christian,No,Yes,Yes,99.35,Medium,Yes,0
Scholarship Scheme 57,High School,All,ST,Sikh,No,No,Yes,91.46,Low,Yes,1
Scholarship Scheme 58,Undergraduate,Male,OBC,Muslim,Yes,No,No,79.39,Low,Yes,0
Scholarship Scheme 59,Doctorate,All,ST,Christian,No,No,No,83.05,Low,Yes,1
Scholarship Scheme 60,Undergraduate,All,OBC,Hindu,Yes,No,Yes,82.38,High,Yes,0
